Movies,Director,Actors,Year
Daddy Cool,K. Murli Manohar Rao,"Suniel Shetty, Aftab Shivdasani, Aarti Chabria, Aashish Chaudhary, Javed Jaffrey, Rajpal Yadav, Sophie Chaudhry, Tulip Joshi, Chunky Pandey, Prem Chopra, Kim Sharma",2009
Kisaan,Puneet Sira,"Jackie Shroff, Sohail Khan, Arbaaz Khan, Diya Mirza, Nauheed Cyrusi",2009
Love Khichdi,Srinivas Bhashyam,"Randeep Hooda, Rituparna Sengupta, Milind Soman, Divya Dutta",2009
Toss,Ramesh Khatkar,"Prashant Raj Sachdev, Ashmit Patel, Rannvijay Singh",2009
Yeh Mera India,N. Chandra,"Anupam Kher, Perizaad Zorabian, Ashwin Mushran, Purab Kohli, Rajpal Yadav, Sarika, Parvin Dabas, Seema Biswas, Vijay Raaz, Smilie Suri",2009
Quick Gun Murugun,Shashanka Ghosh,"Rajendra Prasad, Nassar, Rambha, Anuradha Menon, Raju Sundaram, Shanmugarajan, Vinay Pathak, Ashwin Mushran",2009
Aagey Se Right,Indrajit Nattoji,"Shreyas Talpade, Shiv Panditt, Mahi Gill, Kay Kay Menon, Shruti Seth, Shenaz Treasurywala",2009
Chintu Ji,Ranjit Kapoor,"Rishi Kapoor, Priyanshu Chatterjee, Kulraj Randhawa",2009
Fox,Deepak Tijori,"Arjun Rampal, Sagarika Ghatge, Udita Goswami, Sunny Deol, Kurush Deboo, Vipul Gupta",2009
Aamras,Rupali Guha,"Jiya Sarang, Pari Sehgal, Rakhi Chadda, Sanya Balsara, Zarina Wahab, Reema, Sukanya Kulkarni, Shubhi, Vikram Kapadia, Usha Bachani, Sonali Sachdev, Meher, Sunil Sinha, Manoj Pahwa",2009
Baabarr,Ashu Trikha,"Soham Deepak, Mithun Chakraborty, Urvashi Sharma",2009
Vaada Raha,Samir Karnik,"Bobby Deol, Kangana Ranaut, Mohnish Bahl, Sharat Saxena, Dwij Yadav, Atul Agnihotri",2009
Dil Bole Hadippa!,Anurag Singh,"Rani Mukherjee, Shahid Kapoor, Anupam Kher, Dalip Tahil, Rakhi Sawant, Sherlyn Chopra",2009
Blue Oranges,Rajesh Ganguly,"Rajat Kapoor, Shishir Sharma, Aham Sharma, Puja Kanwal, Rati Agnihotri, Harsh Chhaya",2009
Phir Kabhi,V. K. Prakash,"Mithun Chakraborty, Dimple Kapadia, Rati Agnihotri, Gulshan Grover,",2009
What's Your Raashee?,Ashutosh Gowarikar,"Harman Baweja, Priyanka Chopra",2009
Do Knot Disturb,David Dhawan,"Govinda, Riteish Deshmukh, Lara Dutta, Sushmita Sen, Sohail Khan, Ranvir Shorey, Rajpal Yadav",2009
Wake Up Sid,Ayan Mukerji,"Ranbir Kapoor, Konkona Sen Sharma, Rahul Khanna, Namit Das, Anupam Kher",2009
Acid Factory,Suparn Verma,"Dia Mirza, Fardeen Khan, Irrfan Khan, Manoj Bajpai, Dino Morea, Aftab Shivdasani, Danny Denzongpa, Gulshan Grover",2009
Main Aurr Mrs Khanna,Prem Soni,"Salman Khan, Kareena Kapoor, Sohail Khan, Deepika Padukone, Dino Morea, Preity Zinta, Nauheed Cyrusi, Yash Tonk, Bappi Lahiri",2009
Bal Ganesh 2,Pankaj Sharma,,2009
Fruit and Nut,Kunal Vijaykar,"Boman Irani, Cyrus Broacha, Mahesh Manjrekar, Dia Mirza",2009
Love Ka Tadka,Rajan Wagdhare,"Nauheed Cyrusi, Sameer Dattani",2009
London Dreams,Vipul Shah,"Salman Khan, Ajay Devgn, Asin Thottumkal, Rannvijay Singh, Aditya Roy Kapur, Om Puri",2009
Aladin,Sujoy Ghosh,"Amitabh Bachchan, Sanjay Dutt, Jacqueline Fernandez, Riteish Deshmukh, Sahil Khan, Ratna Pathak Shah",2009
Jail,Madhur Bhandarkar,"Neil Nitin Mukesh, Mugdha Godse, Manoj Bajpayee, Kaveri Jha, Sayali Bhagat, Rahul Singh, Atul Kulkarni, Navni Parihar",2009
Tum Mile,Kunal Deshmukh,"Emraan Hashmi, Soha Ali Khan, Rituraj Singh, Sachin Khedekar",2009
Aao Wish Karein,Glenn Baretto,"Aftab Shivdasani, Aamna Shariff, Shah Rukh Khan, Johnny Lever, Ritesh Deshmukh",2009
Kurbaan,Rensil D'Silva,"Saif Ali Khan, Kareena Kapoor, Rupinder Nagra, Vivek Oberoi, Dia Mirza, Om Puri, Kirron Kher, Nauheed Cyrusi",2009
Shaabash! You Can Do It,Shankar Mondal,"Hitesh Agrawal, Mansi Dovhal, Sudesh Berry, Nasir Khan",2009
Marega Salaa,Devang Dholkia,"Jimmy Sheirgill, Kim Sharma, Hrishita Bhatt, Rahul Handa",2009
Radio,Ishaan Trivedi,"Himesh Reshammiya, Shenaz Treasurywala, Sonal Sehgal",2009
Paa,R. Balki,"Amitabh Bachchan, Abhishek Bachchan, Vidya Balan, Paresh Rawal",2009
Rocket Singh: Salesman of the Year,Shimit Amin,"Ranbir Kapoor, Gauahar Khan, Shazahn Padamsee, Prem Chopra",2009
"Raat Gayi, Baat Gayi?",Saurabh Shukla,"Rajat Kapoor, Vinay Pathak, Neha Dhupia, Navneet Nishan, Dalip Tahil, Anuradha Menon, Aamir Bashir, Iravati Harshe",2009
Accident on Hill Road,Mahesh Nair,"Celina Jaitly, Farooq Sheikh",2009
Dabangg,,,2010
My Name Is Khan,,,2010
Golmaal 3,,,2010
Raajneeti,,,2010
Housefull,,,2010
Tees Maar Khan,,,2010
Once Upon A Time In Mumbaai,,,2010
I Hate Luv Storys,,,2010
Anjaana Anjaani,,,2010
Khatta Meetha,,,2010
Dulha Mil Gaya,Muddassar Aziz,"Shah Rukh Khan, Fardeen Khan, Sushmita Sen, Ishita Sharma, Tara Sharma, Anushka Manchanda, Mohit Chadda, Vivek Vaswani, Johnny Lever",2010
Pyaar Impossible!,Jugal Hansraj,"Priyanka Chopra, Uday Chopra, Anupam Kher, Dino Morea",2010
Chance Pe Dance,Ken Ghosh,"Shahid Kapoor, Mohnish Bahl, Genelia D'Souza, Vikas Bhalla, Parikshit Sahni, Satish Shah",2010
Hello! Hum Lallan Bol Rahe Hain,Dileep Shukla,"Rajpal Yadav, Preeti Mehra",2010
Veer,Anil Sharma,"Salman Khan, Zarine Khan, Mithun Chakraborty, Sohail Khan, Jackie Shroff",2010
Ishqiya,Abhishek Chaubey,"Naseeruddin Shah, Vidya Balan, Rajesh Sharma, Arshad Warsi",2010
Rann,Ram Gopal Varma,"Amitabh Bachchan, Sudeep, Ritesh Deshmukh, Paresh Rawal, Rajpal Yadav, Gul Panag, Rajat Kapoor, Suchitra Krishnamurthy, Neetu Chandra, Mohnish Behl",2010
Road To Sangam,Amit Rai,"Paresh Rawal, Om Puri, Javed Sheikh",2010
The Hangman,Vishal Bhandari,"Om Puri, Shreyas Talpade, Gulshan Grover, Smita Jaykar, Tom Alter, Anita Kanwar, Yatin Karyekar, Nazneen Ghaani, Amrita Bedi",2010
Striker,Chandan Arora,"Siddharth Narayan, Aditya Pancholi, Ankur Vikal, Anupam Kher, Seema Biswas",2010
Sukhmani: Hope for Life,Manjeet Mann,"Gurdas Maan, Juhi Chawla, Divya Dutta",2010
Aakhari Decision,Deepak Bandhu,"Anant Jog, Sumona Chakravarti, Pradeep Kharab, Nagesh Bhonsle, Mushtaq Khan",2010
Click,Sangeeth Sivan,"Shreyas Talpade, Sadha, Sneha Ullal",2010
Toh Baat Pakki!,Kedarh Shinde,"Tabu, Sharman Joshi, Vatsal Sheth, Uvika Choudhary, Ayub Khan, Vishal Malhotra",2010
Karthik Calling Karthik,Vijay Lalwani,"Farhan Akhtar, Deepika Padukone, Vivan Bhatena, Ram Kapoor, Vipin Sharma, Shefali Shah",2010
Teen Patti,Leena Yadav,"Amitabh Bachchan, Ben Kingsley, R. Madhavan, Saira Mohan, Raima Sen, Mahesh Manjrekar, Shraddha Kapoor",2010
Atithi Tum Kab Jaoge?,Ashwni Dhir,"Ajay Devgn, Konkona Sen Sharma, Paresh Rawal, Satish Kaushik",2010
Hello Zindagi,Raja Unnithan,"Mrunmayee Lagoo, Milind Gunaji, Neena Gupta, Kanwaljeet Singh",2010
"Road, Movie",Dev Benegal,"Abhay Deol, Satish Kaushik, Tannishtha Chatterjee, Mohammed Faisal Usmani",2010
Rokkk,Rajesh Ranshinge,"Udita Goswami, Shaad Randhawa, Nishigandha Wad, Tanushree Dutta",2010
Thanks Maa,Irfan Kamal,"Ranvir Shorey, Alok Nath, Raghuveer Yadav, Barry John, Sanjay Mishra",2010
Do Dilon Ke Khel Mein,Akash Pandey,"Rajesh Khanna, Nausheen Ali Sardar, Sonika Gill, Satish Kaushik",2010
Hide & Seek,Shawn Arranha,"Purab Kohli, Arjan Bajwa, Mrinalini Sharma, Samir Kochhar",2010
Na Ghar Ke Na Ghaat Ke,Rahul Aggarwal,"Rahul Aggarwal, Paresh Rawal, Narayani Shastri, Om Puri",2010
Right Yaaa Wrong,Neeraj Pathak,"Sunny Deol, Irrfan Khan, Isha Koppikar, Konkona Sen Sharma, Master Ali Haji",2010
Trump Card,Arshad Khan,"Vikram Kumar, Urvashi Chaudhary, Mansi Dovhal, Sheetal Bedi",2010
Idiot Box,Sunanda Mitra,"Sushant Singh, Hrishita Bhatt, Jyoti Gauba, Milind Gunaji",2010
Lahore,Sanjay Puran Singh Chauhan,"Aanaahad, Shraddha Das, Farooq Sheikh, Nafisa Ali",2010
Love Sex Aur Dhokha,Dibakar Banerjee,"Amit Sial, Anshuman Jha, Arya Banerjee, Atul Mongia, Neha Chauhan, Shruti",2010
Shaapit,Vikram Bhatt,"Aditya Narayan, Shweta Agarwal, Rahul Dev, Shubh Joshi",2010
Hum Tum Aur Ghost,Kabeer Kaushik,"Arshad Warsi, Dia Mirza, Sandhya Mridul, Boman Irani, Asawari Joshi, Javed Sheikh, Ashwin Mushran, Tinnu Anand",2010
It's a Man's World,Saurabh Sengupta,"Mohsin Akhtar, Mouli Ganguly, Ranjeet Jha, Mikhil Chindaramani",2010
Mittal v/s Mittal,Karan Razdan,"Rituparna Sengupta, Rohit Roy, Gulshan Grover, Suchitra Krishnamurthy",2010
My Friend Ganesha 3,Rajiv S. Ruia,"Rahul Pendkalkar, Baba Sehgal, Eva Grover, Sayaji Shinde",2010
Prem Kaa Game,Ashok Kheny,"Arbaaz Khan, Tara Sharma, Madhuri Bhattacharya, Johnny Lever",2010
Well Done Abba,Shyam Benegal,"Boman Irani, Minissha Lamba, Sameer Dattani, Ravi Kissen",2010
Pankh,Sudipto Chattopadhyaya,"Bipasha Basu, Maradona Rebello, Mahesh Manjrekar, Ronit Roy Sanjeeda Sheikh",2010
Sadiyaan,Raj Kanwar,"Luv Sinha, Ferena Wazeir, Rekha, Hema Malini, Rishi Kapoor",2010
Kabir Sadanand,"Nana Patekar, Dimple Kapadia, Rehan Khan, Sunil Shetty, Vidya Malvade, Anjana Sukhani, Mohnish Behl",Social/Drama,2010
Jaane Kahan Se Aayi Hai,Milap Zaveri,"Riteish Deshmukh, Jacqueline Fernandez, Akshay Kumar, Priyanka Chopra, Deepika Padukone, Katrina Kaif, Vishal Malhotra, Sonal Sehgal, Amrita Rao, Ruslaan Mumtaz",2010
Prince,Kookie Gulati,"Vivek Oberoi, Aruna Shields, Nandana Sen, Neeru Bajwa, Isaiah, Sanjay Kapoor",2010
The Japanese Wife,Aparna Sen,"Rahul Bose, Raima Sen, Chigasu Takaku, Moushmi Chatterjee",2010
Paathshaala,Milind Ukey,"Shahid Kapoor, Nana Patekar, Ayesha Takia, Ali Haji, Swini Khara",2010
Phoonk 2,Milind Gadagkar,"Sudeep, Neeru Bajwa, Amruta Khanvilkar, Ahsaas Channa",2010
Apartment,Jagmohan Mundhra,"Rohit Roy, Tanushree Dutta, Neetu Chandra, Anupam Kher",2010
Bird Idol,Jyotin Goel,,2010
City of Gold,Mahesh Manjrekar,"Vineet Kumar, Sameer Dharmadhikari, Kashmira Shah, Satish Kaushik",2010
Kuchh Kariye,Jagbir Dahiya,"Sukhwinder Singh, Vikrum Kumar, Rufy Khan",2010
Muskurake Dekh Zara,Som Shekar,"Gashmeer Mahajani, Twinkle Patel, Hiten Paintal, Sunil Sabarwal, Simran Suri",2010
Chase,Jagmohan Mundhra,"Udita Goswami, Caterina Murino, Rajesh Khattar, Shweta Menon",2010
Sajid Khan,"Akshay Kumar, Arjun Rampal, Deepika Padukone, Riteish Deshmukh, Lillete Dubey, Lara Dutta, Malaika Arora, Randhir Kapoor, Jiah Khan, Boman Irani, Chunky Pandey",Comedy,2010
Badmaash Company,Parmeet Sethi,"Shahid Kapoor, Anushka Sharma, Anupam Kher, Meiyang Chang, Vir Das, Harry Mearing",2010
Bumm Bumm Bole,Priyadarshan,"Darsheel Safary, Kaveri Jha, Atul Kulkarni, Rituparna Sengupta, Ziyah Vastani",2010
Admissions Open,K.D. Satyam,"Anupam Kher, Aashish Vidyarthi, Ankur Khanna, Pramod Moutho",2010
Kushti,T K Rajeev Kumar,"Rajpal Yadav, Khali, Nargis, Sharat Saxena",2010
Kites,Anurag Basu,"Hrithik Roshan, Barbara Mori, Kangana Ranaut",2010
Ek Second... Jo Zindagi Badal De?,Partho Ghosh,"Jackie Shroff, Manisha Koirala, Aman Verma, Moammar Rana",2010
Raavan,Mani Ratnam,"Vikram, Abhishek Bachchan, Aishwarya Rai Bachchan, Govinda, Nikhil Dwivedi, Priyamani",2010
Krantiveer – The Revolution,Mehul Kumar,"Jahan Bloch, Sameer Aftab, Aman Verma",2010
Mr. Singh Mrs. Mehta,Pravesh Raman,"Aruna Shields, Prashant Narayanan",2010
Milenge Milenge,Satish Kaushik,"Kareena Kapoor, Shahid Kapoor, Aarti Chabria",2010
Red Alert: The War Within,Anant Mahadevan,"Sunil Shetty, Vinod Khanna, Naseeruddin Shah, Sameera Reddy, Bhagyashree, Murli Sharma",2010
Lamhaa,Rahul Dholakia,"Sanjay Dutt, Bipasha Basu, Kunal Kapoor, Murali Sharma, Anupam Kher",2010
Tere Bin Laden,Abhishek Sharma,"Ali Zafar, Sugandha Garg, Rahul Singh, Barry John, Nikhil Ratnaparkhi",2010
Udaan,Vikramaditya Motwane,"Ronit Roy, Rajat Barmecha",2010
Once Upon a Time in Mumbaai,Milan Luthria,"Ajay Devgn, Emraan Hashmi, Kangana Ranaut, Prachi Desai, Randeep Hooda",2010
Aisha,Rajshree Ojha,"Sonam Kapoor, Abhay Deol, Anand Tiwari, Ira Dubey, Amrita Puri, Arunoday Singh, Cyrus Sahukar, Lisa Haydon",2010
Help,Rajeev Virani,"Bobby Deol, Mugdha Godse, Sophia Handa, Shreyas Talpade",2010
Peepli Live,Anusha Rizvi,"Omkar Das Manikpuri, Raghubir Yadav",2010
Lafangey Parindey,Pradeep Sarkar,"Neil Nitin Mukesh, Deepika Padukone, Namit Das, Kay Kay Menon",2010
...And Once Again,Amol Palekar,"Antara Mali, Rajat Kapoor, Rituparna Sengupta",2010
Hello Darling,Manoj Tiwari,"Celina Jaitly, Isha Koppikar, Gul Panag",2010
Antardwand,Sushil Rajpal,"Raja Chaudhary, Vinay Pathak",2010
Aashayein,Nagesh Kukunoor,"John Abraham, Sonal Sehgal, Prateeksha Lonkar",2010
Soch Lo,Sartaj Singh Pannu,"Sartaj Singh Pannu, Barkha Madan, Bhupinder Singh",2010
We Are Family,Siddharth Malhotra,"Arjun Rampal, Kajol, Kareena Kapoor",2010
Mallika,Wilson Louis,"Sameer Dattani, Sheena Nayar, Himanshu Malik",2010
The Film Emotional Atyachar,Akshay Shere,"Mohit Alawat, Kalki Koechlin, Vinay Pathak, Ranvir Shorey, Ravi Kishan, Sakshi Gulati",2010
Benny and Babloo,Yunus Sajawal,"Kay Kay Menon, Rajpal Yadav, Riya Sen, Shweta Tiwari, Rukhsar Rehman, Anita Hassanandani, Richa Chadha, Maushumi Udeshi, Hiten Paintal, Aasif Sheikh",2010
Khichdi: The Movie,Aatish Kapadia,"Supriya Pathak, Anang Desai, Rajeev Mehta, Jamnadas Majethia, Nimisha Vakharia",2010
Crook,Mohit Suri,"Emraan Hashmi, Neha Sharma, Arjan Bajwa, Kavin Dave",2010
Do Dooni Chaar,Habib Faisal,"Rishi Kapoor, Neetu Singh, Mohit Chadda, Rajesh Vivek, Aditi Vasudev, Natasha Rastogi",2010
Aakrosh,Priyadarshan,"Ajay Devgn, Akshaye Khanna, Bipasha Basu, Reema Sen, Paresh Rawal",2010
Pusher,Assad Raja,"Mahima Chaudhry, Pasha Bocarie, Marc Anwar, Assad Raja",2010
Knock Out,Mani Shankar,"Sanjay Dutt, Kangana Ranaut, Irrfan Khan, Gulshan Grover",2010
Kajraare,Pooja Bhatt,"Himesh Reshammiya, Sara Loren, Gaurav Chanana, Javed Sheikh",2010
Ramayana: The Epic,Cheetan Desai,"Manoj Bajpai, Juhi Chawla, Sanjeev Tiwari, Ashutosh Rana",2010
Hisss,Jennifer Lynch,"Mallika Sherawat, Irrfan Khan",2010
Jhootha Hi Sahi,Abbas Tyrewala,"John Abraham, Pakhi Tyrewala, Abhishek Bachchan, Ritesh Deshmukh",2010
Rakta Charitra,Ram Gopal Verma,"Vivek Oberoi, Sudeep, Radhika Apte, Shatrughan Sinha, Kota Srinivasa Rao, Abhimanyu Singh, Sushant Singh",2010
Maalik Ek,Deepak Balraj Vij,"Jackie Shroff, Divya Dutta",2010
Nakshatra,Mohan Savalkar,"Anupam Kher, Shubh, Sabina Sheema",2010
Action Replayy,Vipul Amrutlal Shah,"Akshay Kumar, Aishwarya Rai Bachchan, Rajpal Yadav, Aditya Roy Kapur, Sudeepa Singh, Rannvijay Singh, Neha Dhupia, Randhir Kapoor",2010
Dunno Y... Na Jaane Kyon,Sanjay Sharma,"Aryan Vaid, Kapil Sharma, Rituparna Sengupta, Helen, Zeenat Aman",2010
A Flat,Raaj Verma,"Sanjay Suri, Jimmy Shergill",2010
Ramaa: The Saviour,Haadi Abrar,"Sahil Khan, Tanushree Dutta, Dalip Singh Rana",2010
Guzaarish,Sanjay Leela Bhansali,"Hrithik Roshan, Aishwarya Rai Bachchan, Suhel Seth, Aditya Roy Kapur, Shernaz Patel, Priyanka Bose, Ash Chandler, Swara Bhaskar",2010
"Shahrukh Bola ""Khoobsurat Hai Tu""",Makrand Deshpande,"Preetika Chawla, Afzaal Khan, Shahrukh Khan, Kay Kay Menon",2010
Diwangi Ne Had Kar Di,Jiten Purohit,"Aditya Raj Kapoor, Deep, Ashhmita",2010
Allah Ke Banday,Faruk Kabir,"Sharman Joshi, Naseeruddin Shah, Faruk Kabir",2010
Break Ke Baad,Danish Aslam,"Imran Khan, Deepika Padukone, Navin Nischol, Lillete Dubey",2010
Khuda Kasam,K C Bokadia,"Sunny Deol, Tabu, Farida Jalal, Govind Namdeo",2010
Khelein Hum Jee Jaan Sey,Ashutosh Gowariker,"Abhishek Bachchan, Deepika Padukone, Sikander Kher",2010
Phas Gaye Re Obama,Subhash Kapoor,"Rajat Kapoor, Neha Dhupia",2010
Rakta Charitra 2,Ram Gopal Verma,"Suriya, Vivek Oberoi, Sudeep, Shatrughan Sinha",2010
Band Baaja Baaraat,Maneesh Sharma,"Ranveer Singh, Anushka Sharma, Neeraj Sood",2010
No Problem,Anees Bazmee,"Paresh Rawal, Anil Kapoor, Sushmita Sen, Neetu Chandra, Kangana Ranaut, Akshaye Khanna, Sunil Shetty, Sanjay Dutt",2010
332 Mumbai to India,Mahesh Pandey,"Ali Asgar, Chetan Pandit",2010
Payback,Sachin P. Karande,"Munish Khan, Sara Khan, Gulshan Grover",2010
Kaalo,Wilson Louis,"Swini Khara, Aditya Srivastava, Gufi Paintal",2010
Mirch,Vinay Shukla,"Konkona Sen Sharma, Raima Sen, Shahana Goswami, Ila Arun, Shreyas Talpade",2010
Isi Life Mein...!,Vidhi Kasliwal,"Akshay Oberoi, Sandeepa Dhar, Mohnish Behl",2010
Toonpur Ka Superrhero,Kireet Khurana,"Ajay Devgn, Kajol, Sanjay Dutt",2010
Tera Kya Hoga Johnny,Sudhir Mishra,"Neil Nitin Mukesh, Soha Ali Khan, Kay Kay Menon, Shahana Goswami",2010
Ada... A Way of Life,Tanvir Ahmad,"Ayaan Ahmad, Nauheed Cyrusi, Ayesha Jhulka, Rahul Roy, Milind Gunaji",2010
Bodyguard,,,2011
Ra.One,,,2011
Don 2,,,2011
Ready,,,2011
Zindagi Na Milegi Dobara,,,2011
Singham,,,2011
The Dirty Picture,,,2011
Rockstar,,,2011
Murder 2,,,2011
Delhi Belly,,,2011
No One Killed Jessica,Raj Kumar Gupta,"Rani Mukherjee, Vidya Balan",2011
Impatient Vivek,Rahat Kazmi,"Vivek Sudershan, Sayali Bhagat",2011
Yamla Pagla Deewana,Samir Karnik,"Dharmendra, Sunny Deol, Bobby Deol, Kulraj Randhawa, Ajay Devgn, Mahek Chahal, Himanshu Malik, Johnny Lever",2011
Turning 30!!!,Alankrita Shrivastava,"Purab Kohli, Gul Panag, Siddharth Makkar",2011
Mumbai Mast Kallander,Aman Mihani,"Shilpa Shukla, Mohsin Akhtar",2011
Odyssey of Persistence,Sagar Ambre Nikunj Pathak,Diksha Tomar,2011
Dhobi Ghat,Kiran Rao,"Prateik Babbar, Aamir Khan, Monica Dogra",2011
Hostel,Manish Gupta,"Vatsal Sheth, Tulip Joshi, Mukesh Tiwari",2011
Dil Toh Baccha Hai Ji,Madhur Bhandarkar,"Ajay Devgn, Emraan Hashmi, Omi Vaidya, Shazahn Padamsee, Shruti Haasan, Tisca Chopra, Shraddha Das",2011
Yeh Saali Zindagi,Sudhir Mishra,"Arunoday Singh, Chitrangada Singh, Irrfan Khan",2011
United Six,Vishal Aryan Singh,Parvathy Omanakuttan,2011
Utt Pataang,Srikanth V. Velagaleti,"Vinay Pathak, Mahie Gill, Murali Sharma, Mona Singh, Kurush Deboo",2011
Angel,Ganesh Acharya,"Nilesh Sahay, Madalasa Sharma, Aruna Irani",2011
Patiala House,Nikhil Advani,"Rishi Kapoor, Dimple Kapadia, Akshay Kumar, Anushka Sharma",2011
Aashiqui.in,Shankhadeep,"Ishaan Manhaas, Ankita Shrivastava",2011
7 Khoon Maaf,Vishal Bhardwaj,"Priyanka Chopra, Neil Nitin Mukesh, Naseeruddin Shah, John Abraham, Irrfan Khan, Konkona Sen Sharma",2011
Kaccha Limboo,Sagar Ballary,"Vinay Pathak, Sarika, Rukhsar, Chinmay Kambli",2011
Masti Express,Vikram Pradhan,"Rajpal Yadav, Johnny Lever, Divya Dutta, Manoj Joshi, Razzak Khan, Vijay Patkar, Rohan Shah, Vinit Jain, Sameer Mohammed",2011
Tanu Weds Manu,Aanand L. Rai,"Madhavan, Kangana Ranaut, Jimmy Sheirgill, Ravi Kishan",2011
Satrangee Parachute,Vineet Khetrapal,"Jackie Shroff, Kay Kay Menon, Rupali Ganguly, Zakir Hussain",2011
Yeh Faasley,Yogesh Mittal,"Anupam Kher, Pavan Malhotra",2011
Happy Husbands,Anay,"Anay, Kurush Deboo, Mohit Ghai, Ahwaan, Archana",2011
Monica,Sushen Bhatnagar,"Divya Dutta, Ashutosh Rana",2011
Game,Abhinay Deo,"Abhishek Bachchan, Kangana Ranaut, Sarah Jane Dias, Jimmy Sheirgill, Boman Irani, Anupam Kher",2011
F.A.L.T.U,Remo D'Souza,"Jackky Bhagnani, Puja Gupta, Arshad Warsi, Riteish Deshmukh",2011
Memories in March,Sanjoy Nag,"Deepti Naval, Rituparno Ghosh, Raima Sen",2011
Thank You,Anees Bazmee,"Akshay Kumar, Bobby Deol, Sunil Shetty, Irrfan Khan, Sonam Kapoor, Celina Jaitly, Rimi Sen, Mallika Sherawat, Vidya Balan",2011
Teen Thay Bhai,Mirgdeep Singh Lamba,"Om Puri, Shreyas Talpade, Deepak Dobriyal, Ragini Khanna",2011
Dum Maaro Dum,Rohan Sippy,"Abhishek Bachchan, Bipasha Basu, Prateik Babbar, Aditya Pancholi, Rana Daggubati, Deepika Padukone",2011
Zokkomon,Satyajit Bhatkal,"Darsheel Safary, Anupam Kher, Manjari Phadnis",2011
Shor in the City,"Raj Nidimoru, Krishna Dk","Tusshar Kapoor, Preeti Desai, Alok Chaturvedi",2011
Chalo Dilli,Shashant Shah,"Lara Dutta, Vinay Pathak, Akshay Kumar",2011
I Am,Onir,"Sanjay Suri, Radhika Apte, Shernaz Patel, Anurag Kashyap, Pooja Gandhi, Rahul Bose, Arjun Mathur, Abhimanyu Shekhar Singh, Nandita Das, Juhi Chawla, Manisha Koirala, Purab Kohli",2011
Naughty @ 40,Jagmohan Mundhra,"Govinda, Yuvika Chaudhary, Anupam Kher, Shakti Kapoor",2011
Luv Ka The End,Bumpy,"Shraddha Kapoor, Taaha Shah",2011
Haunted – 3D,Vikram Bhatt,"Mahakshay Chakraborty, Twinkle Bajpai, Achint Kaur",2011
Love U...Mr. Kalakaar!,S. Manasvi,"Tusshar Kapoor, Amrita Rao, Kunal Kumar, Ram Kapoor, Kiran Kumar",2011
Ragini MMS,Pawan Kripalani,"Kainaz Motivala, Rajkummar Rao",2011
Shagird,Tigmanshu Dhulia,"Nana Patekar, Zakir Hussain, Mohit Ahlawat, Rimi Sen, Anurag Kashyap",2011
Stanley Ka Dabba,Amole Gupte,"Partho, Divya Dutta",2011
404,Prawaal Raman,"Rajvvir Aroraa, Imaad Shah, Nishikant Kamat",2011
Crackers,Anil Goyal,"Nikhil Dwivedi, Smilie Suri",2011
Pyaar Ka Punchnama,Luv Ranjan,"Kartik Aaryan, Raayo S. Bakhirta, Divyendu Sharma, Sonnalli Seygall, Nushrat Bharucha, Ishita Raj Sharma",2011
Kucch Luv Jaisaa,Barnali Ray Shukla,"Rahul Bose, Shefali Shah, Om Puri, Neetu Chandra, Sumeet Raghavan",2011
Shaitan,Bejoy Nambiar,"Rajeev Khandelwal, Kalki Koechlin, Shiv Panditt",2011
Bheja Fry 2,Sagar Ballary,"Vinay Pathak, Minissha Lamba, Amit Behl, Kay Kay Menon, Rahul Singh, Amole Gupte",2011
Always Kabhi Kabhi,Roshan Abbas,"Ali Fazal, Giselli Monteiro, Zoa Morani, Satyajeet Dubey, Satish Shah, Lilette Dubey, Shah Rukh Khan",2011
Bhindi Baazaar Inc.,Ankush Bhatt,"Kay Kay Menon, Piyush Mishra, Deepti Naval, Prashant Narayanan, Shilpa Shukla",2011
Bin Bulaye Baraati,Chandrakant Singh,"Mallika Sherawat, Rati Agnihotri, Gulshan Grover, Manoj Joshi, Shakti Kapoor, Priyanka Kothari, Johnny Lever, Sanjay Mishra, Om Puri, Vijay Raaz, Aftab Shivdasani",2011
Double Dhamaal,Indra Kumar,"Sanjay Dutt, Arshad Warsi, Javed Jaffrey, Riteish Deshmukh, Aashish Chaudhary, Mallika Sherawat, Kangana Ranaut",2011
Bbuddah... Hoga Terra Baap,Puri Jagannadh,"Amitabh Bachchan, Hema Malini, Sonu Sood, Prakash Raj, Raveena Tandon, Charmy Kaur, Sonal Chauhan",2011
Chillar Party,"Vikas Bahl, Nitesh Tiwari","Irrfan Khan, Sanath Menon, Rohan Grover, Naman Jain, Aarav Khanna, Vishesh Tiwari, Aakash Dahiya, Pankaj Tripathi, Rajesh Sharma, Ranbir Kapoor, Shriya Sharma, Swara Bhaskar",2011
Khap,Ajai Sinha,"Om Puri, Govind Namdev, Manoj Pahwa, Yuvika Chaudhary, Mohnish Bahl",2011
Gandhi to Hitler,Rakesh Ranjan Kumar,"Neha Dhupia, Raghubir Yadav",2011
Bubble Gum,Sanjivan Lal,"Sohail Lakhani, Apoorva Arora, Sachin Khedekar, Tanvi Azmi",2011
Chala Mussaddi... Office Office,Rajiv Mehra,"Pankaj Kapur, Deven Bhojani, Manoj Pahwa, Sanjay Mishra, Hemant Pandey, Asawari Joshi, Gaurav Kapoor, Farida Jalal, Makrand Deshpande",2011
